名称,质心X,质心Y,幅员面积/平方千米,人口/万人,地区生产总值/万元,城市化率,碳排放总量/吨
巴南区,106.7474903,29.3743668,1825,91.88,6995233,80.38,6131945
北碚区,106.5102748,29.8635155,751,63.02,5215197,82.27,6524210
璧山区,106.1877581,29.5636557,914,64.5,4716137,56.26,5504866
城口县,108.7303945,31.8840094,3289,25.11,473713,34.86,366718
大渡口区,106.4543022,29.4210278,102,26.31,1897354,97.41,2846834
大足区,105.7388643,29.652544,1436,106.79,4237045,57.19,5124214
垫江县,107.4331812,30.2558065,1516,97.14,2856954,44.77,3199130
丰都县,107.826631,29.8868783,2900,82.37,1864249,44.94,2134622
奉节县,109.3442476,30.9535239,4098,105.93,2466074,42.36,2776853
涪陵区,107.3293361,29.6610678,2942,115.83,9831494,67.18,7032613
合川区,106.3078964,30.1150133,2344,153.27,5800881,67.17,4785250
江北区,106.7053245,29.6165223,221,61.41,8597001,96.09,5573686
江津区,106.2595004,29.0319369,3218,149.66,7408549,66.57,5483549
九龙坡区,106.361006,29.4311871,432,93.05,11713906,93,8169127
开州区,108.3779791,31.2724836,3963,168.43,3891107,46.38,3333719
梁平区,107.7145097,30.660383,1892,92.92,2951375,44.69,2631831
南岸区,106.6571267,29.5385244,262,71.32,7976800,95.37,7280167
南川区,107.1673734,29.1381172,2602,68.63,2308025,59.05,2614947
彭水苗族土家族自治县,108.2622141,29.3561257,2903,70.02,1364069,35.31,1251848
綦江区,106.7188679,28.881763,2748,120.06,4600482,61.07,4610722
黔江区,108.7041153,29.437889,2402,55.45,2315339,49.1,2270451
荣昌区,105.5033869,29.4673522,1079,84.96,4019911,54.82,3315784
沙坪坝区,106.3642989,29.6269279,396,83.17,8417762,95.08,9431013
石柱土家族自治县,108.2940418,30.0958012,3014,54.78,1585052,42.46,1480913
铜梁区,106.0292855,29.8139616,1342,84.97,3750489,54.8,4510591
潼南区,105.8105278,30.1457905,1584,95.06,3280054,52.24,2130047
万州区,108.4024425,30.7060817,3457,174.14,9736665,65.45,6156647
巫山县,109.8958609,31.1169243,2958,63.69,1119741,39.9,2388948
巫溪县,109.3483593,31.505309,4015,54.26,843460,35.3,1278720
武隆区,107.7052315,29.3754846,2889,41.27,1568252,42.68,2075632
秀山土家族苗族自治县,109.0132805,28.4946777,2453,66.58,1614610,40.25,1857435
永川区,105.8694745,29.2930498,1579,113.97,6959782,67.9,6030976
酉阳土家族苗族自治县,108.7956054,28.9023538,5173,85.26,1372496,33.62,1310674
渝北区,106.7426966,29.8123269,1453,130.47,13838804,81.53,14504107
渝中区,106.5375199,29.5523604,24,50.77,11037729,100,1424662
云阳县,108.852433,31.038281,3636,134.15,2320760,42.3,2455330
长寿区,107.1361138,29.957552,1421,89.49,4948803,64.4,6447592
忠县,107.9097461,30.3382115,2187,99.73,2695866,43.21,1725847
