# 点编号,纬度,经度,属性值  
1,41.42819,139.89756,690
2,42.07605,132.46870,879
3,49.63078,139.61139,241
4,41.38592,133.92361,377
5,45.71954,113.70874,355
6,46.41310,148.49327,712
7,22.91402,111.61952,769
8,20.87483,105.72165,381
9,34.81697,128.27639,825
10,22.11303,126.16812,263
11,24.11162,148.02961,585
12,39.93085,142.01429,359
13,29.53494,147.39794,526
14,46.40059,118.11846,854
15,43.69681,134.10247,576
16,46.08808,131.10883,409
17,20.81043,140.96376,419
18,27.82672,115.51215,299
19,25.60320,136.13111,201
20,28.15344,143.58190,595
21,20.37402,145.22927,214
22,26.22036,102.50014,718
23,34.53696,115.36912,600
24,40.20162,107.04922,794
25,42.20780,118.57082,493
26,35.22554,100.89177,392
27,33.87673,115.90811,721
28,28.79132,145.33259,438
29,44.11653,146.01344,553
30,48.54525,111.15497,603
31,40.42507,146.50164,583
32,27.07922,127.93956,221
33,30.67682,146.86733,734
34,26.93424,113.64925,339
35,24.68457,116.53993,543
36,49.85064,125.66445,682
37,40.64286,144.98563,694
38,31.00099,130.76758,462
39,30.51113,129.41226,267
40,32.75812,124.54694,398
41,30.97450,119.08092,802
42,36.26899,115.79703,581
43,30.07514,131.71182,679
44,26.02086,142.06533,537
45,25.21759,102.61281,310
46,44.02712,107.41996,277
47,39.30718,130.63731,642
48,35.71836,124.97260,613
49,44.52546,143.34063,457
50,26.51433,121.70290,567
51,35.16248,149.58982,883
52,29.08873,102.61314,447
53,41.76643,114.39689,690
54,23.36626,104.84689,485
55,21.68481,109.38265,276
56,26.43580,129.41199,880
57,28.22211,108.78100,286
58,49.62533,136.21280,262
59,23.99384,132.53012,224
60,40.43239,145.31317,715
61,30.52960,126.05853,651
62,27.64072,105.06869,829
63,42.23154,129.53094,567
64,48.07413,119.32697,831
65,23.73050,149.39007,297
66,22.24262,149.42568,781
67,49.69893,104.21359,200
68,39.97908,117.91533,412
69,46.75501,147.69216,318
70,20.55534,134.61582,839
71,20.96115,111.27036,776
72,41.49975,135.41739,747
73,30.34153,120.92425,621
74,35.64655,135.41544,691
75,22.97769,105.64899,661
76,38.71995,137.91362,748
77,29.98974,104.52845,864
78,23.52626,111.50971,876
79,39.23622,146.03985,439
80,45.00666,142.16485,252
81,45.07315,103.65325,692
82,35.71363,132.15145,448
83,30.47121,108.46568,717
84,35.14622,124.85486,716
85,45.08724,100.41283,597
86,29.66131,143.77797,746
87,47.41161,144.67807,305
88,28.29899,104.67730,267
89,36.95366,145.82758,499
90,21.79322,115.79863,442
91,36.19605,145.90941,656
92,32.52983,140.38137,449
93,28.39939,133.18675,685
94,39.87200,143.18862,630
95,27.20666,149.51400,500
96,46.16709,143.31780,394
97,25.90623,116.14877,294
98,33.11361,105.41569,603
99,40.36109,102.82237,688
100,25.07852,146.67976,887
